Statistic,Error Distance 1,Error Distance 2,Error Distance 3,Localization Error
Min,0.108098283,0.028400329,0.025165149,0.061152044
Max,76.804189737,53.326691354,55.747778849,313.337575596
Mean,1.2295905043037216,1.105838954967587,1.140644311129652,3.063065985238896
Std Dev,2.7392434177259593,2.1864196701732164,1.4898723158823906,13.988126547184846
Median,1.030988716,0.6027986905,0.9993649925,1.4722855830000001
Mode,0.497388284,1.077067327,2.227621984,3.097007285
Variance,7.503454501554994,4.780430974120357,2.219719517632758,195.66768430005746
